,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Total_Membors,FamilySize,IsAlone,relatives,Age*Class,FarePerMember,Age_Band,AgeOneHot,FareBand,FareOnehot
0,0,3,0,22,1,0,7,0,1,3,2,0,1,66,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
1,1,1,1,38,1,0,71,1,3,6,2,0,1,38,11,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
2,1,3,1,26,0,0,7,0,2,2,1,1,0,78,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
3,1,1,1,35,1,0,53,0,3,6,2,0,1,35,8,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
4,0,3,0,35,0,0,8,0,1,3,1,1,0,105,2,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
5,0,3,0,27,0,0,8,2,1,2,1,1,0,79,4,,1,"(-0.512, 128.082]",1
6,0,1,0,54,0,0,51,0,1,3,1,1,0,54,17,"(48.168, 64.084]",3,"(-0.512, 128.082]",3
7,0,3,0,2,3,1,21,0,4,3,5,0,4,6,7,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
8,1,3,1,27,0,2,11,0,3,6,3,0,2,81,1,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
9,1,2,1,14,1,0,30,1,3,4,2,0,1,28,7,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
10,1,3,1,4,1,1,16,0,2,3,3,0,2,12,5,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
11,1,1,1,58,0,0,26,0,2,2,1,1,0,58,13,"(48.168, 64.084]",3,"(-0.512, 128.082]",2
12,0,3,0,20,0,0,8,0,1,3,1,1,0,60,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
13,0,3,0,39,1,5,31,0,1,3,7,0,6,117,10,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
14,0,3,1,14,0,0,7,0,2,4,1,1,0,42,1,"(0.34, 16.336]",0,"(-0.512, 128.082]",0
15,1,2,1,55,0,0,16,0,3,4,1,1,0,110,4,"(48.168, 64.084]",3,"(-0.512, 128.082]",2
16,0,3,0,2,4,1,29,2,4,2,6,0,5,6,14,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
17,1,2,0,31,0,0,13,0,1,3,1,1,0,58,4,,1,"(-0.512, 128.082]",1
18,0,3,1,31,1,0,18,0,3,6,2,0,1,93,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
19,1,3,1,20,0,0,7,1,3,2,1,1,0,65,3,,1,"(-0.512, 128.082]",0
20,0,2,0,35,0,0,26,0,1,3,1,1,0,70,8,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
21,1,2,0,34,0,0,13,0,1,2,1,1,0,68,6,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
22,1,3,1,15,0,0,8,2,2,3,1,1,0,45,2,"(0.34, 16.336]",0,"(-0.512, 128.082]",1
23,1,1,0,28,0,0,35,0,1,3,1,1,0,28,11,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
24,0,3,1,8,3,1,21,0,2,3,5,0,4,24,7,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
25,1,3,1,38,1,5,31,0,3,7,7,0,6,114,4,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
26,0,3,0,28,0,0,7,1,1,3,1,1,0,83,2,,1,"(-0.512, 128.082]",0
27,0,1,0,19,3,2,263,0,1,3,6,0,5,19,87,"(16.336, 32.252]",1,"(256.165, 384.247]",3
28,1,3,1,22,0,0,7,2,2,3,1,1,0,69,2,,1,"(-0.512, 128.082]",0
29,0,3,0,26,0,0,7,0,1,2,1,1,0,81,3,,1,"(-0.512, 128.082]",0
30,0,1,0,40,0,0,27,1,5,3,1,1,0,40,9,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
31,1,1,1,35,1,0,146,1,3,5,2,0,1,33,29,,2,"(128.082, 256.165]",3
32,1,3,1,22,0,0,7,2,2,3,1,1,0,69,2,,1,"(-0.512, 128.082]",0
33,0,2,0,66,0,0,10,0,1,3,1,1,0,132,3,"(64.084, 80.0]",4,"(-0.512, 128.082]",1
